subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
1,0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.001,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.1,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.2,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.3,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.4,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.5,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.6,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.7,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.8,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.9,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.99,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,1.0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
2,0,0.6022,0.76177,0.80439,0.81989,0.6931471985702427,0.6687125832048905
2,0.001,0.6039,0.75797,0.77764,0.79308,0.6931471927887297,0.6694426050637666
2,0.1,0.6241,0.79605,0.80619,0.81939,0.6931471927887297,0.6666607143697232
2,0.2,0.6404,0.78921,0.75459,0.76435,0.6931472020116194,0.6658020885381633
2,0.3,0.6567,0.82802,0.75152,0.76002,0.6931472123357495,0.6642740750147619
2,0.4,0.6644,0.86854,0.79945,0.80721,0.6931472422068995,0.6627592679810028
2,0.5,0.6712,0.91762,0.87187,0.87925,0.6931472043517556,0.6614361403996069
2,0.6,0.6645,0.99875,0.98531,0.99159,0.6931472387655228,0.6652656194794812
2,0.7,0.6618,0.99256,0.97012,0.97720,0.6931472376642822,0.6615169469533837
2,0.8,0.6634,1.00183,0.98085,0.98924,0.693147241105659,0.6570144120870507
2,0.9,0.6595,0.98940,0.96446,0.97360,0.6931472365630417,0.6529739649136127
2,0.99,0.6611,1.00340,0.98159,0.99195,0.6931472296802882,0.648118207416138
2,1.0,0.6620,0.99383,0.96756,0.97773,0.6931472331216649,0.6481023827270878
3,0,0.6058,0.85685,0.83206,0.85625,0.6931471996714832,0.6519582812560348
3,0.001,0.6048,0.87720,0.85166,0.87688,0.6931471927887297,0.6522855655425691
3,0.1,0.6260,0.87786,0.84461,0.86382,0.6931471996714832,0.6486524789493023
3,0.2,0.6631,0.92294,0.94230,0.95505,0.6931472065542367,0.6417336201007041
3,0.3,0.6570,0.93082,0.86482,0.87775,0.6931472099956134,0.6421597913836772
3,0.4,0.6652,0.97137,0.89735,0.90890,0.6931472099956134,0.638753056388529
3,0.5,0.6711,0.99316,0.91451,0.92445,0.6931471848047358,0.6364772947500815
3,0.6,0.6739,1.01765,0.94833,0.95785,0.6931471916874892,0.6335155407771227
3,0.7,0.6753,1.05674,0.96590,0.97630,0.6931471779219823,0.6301906552105523
3,0.8,0.6713,1.11482,0.99092,1.00120,0.6931471848047358,0.6349937919931654
3,0.9,0.6729,1.11930,1.00446,1.01626,0.6931471630552349,0.6273385017903793
3,0.99,0.6719,1.11521,0.98680,0.99931,0.6931471664966117,0.6193471947388065
3,1.0,0.6722,1.12205,0.99986,1.01310,0.6931471596138582,0.6194972865300696
4,0,0.6188,0.94025,0.87710,0.90652,0.6931471996714832,0.6370622657463126
4,0.001,0.6177,0.95552,0.87888,0.90908,0.6931471927887297,0.6378241484214747
4,0.1,0.6405,0.98559,0.90679,0.92976,0.6931471996714832,0.6317389431231016
4,0.2,0.6514,0.98890,0.87019,0.88846,0.6931472065542367,0.6293655968428209
4,0.3,0.6613,1.02070,0.88593,0.90106,0.6931472065542367,0.6268463674373494
4,0.4,0.6693,1.04678,0.93052,0.94338,0.693147227202497,0.6222420038857581
4,0.5,0.6734,1.09187,0.95452,0.96640,0.6931472168783668,0.619007837001501
4,0.6,0.6759,1.11973,0.95941,0.97071,0.6931472237611203,0.6168788601289446
4,0.7,0.6775,1.15558,0.98939,1.00147,0.6931472065542367,0.613412714857978
4,0.8,0.6766,1.18378,1.00511,1.01782,0.6931472203197435,0.611083131739504
4,0.9,0.6743,1.24286,1.07296,1.08859,0.6931472099956134,0.6111851170762307
4,0.99,0.6738,1.24199,1.06970,1.08679,0.6931472099956134,0.6029691670012529
4,1.0,0.6744,1.24653,1.07141,1.08903,0.6931472088943728,0.6018278953935478
5,0,0.6301,1.01150,0.96483,0.99828,0.6931471927887297,0.6279540527224816
5,0.001,0.6295,1.00552,0.95825,0.99162,0.6931471927887297,0.6282719626988329
5,0.1,0.6502,1.02891,0.96517,0.99052,0.693147205315341,0.6220488845613757
5,0.2,0.6844,1.12209,1.03717,1.04987,0.6931472031128599,0.6103786698114514
5,0.3,0.6959,1.20582,1.12560,1.13447,0.6931472065542367,0.6043262637239681
5,0.4,0.7040,1.28304,1.15701,1.16316,0.6931472168783668,0.5972937889242282
5,0.5,0.7079,1.34398,1.17068,1.17676,0.6931471996714832,0.5919386462306315
5,0.6,0.6931,1.16879,1.07995,1.08720,0.6931472203197435,0.6083496643819655
5,0.7,0.7160,1.46242,1.26553,1.26822,0.6931471996714832,0.5804902670289848
5,0.8,0.7141,1.35678,1.23225,1.23658,0.6931472031128599,0.5855538915266341
5,0.9,0.6885,1.24706,1.14866,1.16192,0.6931472031128599,0.5995043912605655
5,0.99,0.6870,1.26632,1.14215,1.15592,0.6931472031128599,0.593181714449964
5,1.0,0.7155,1.57880,1.33338,1.33930,0.6931471996714832,0.5628232364015822
