subgraph_size=2,subgraph_size=3,subgraph_size=4,subgraph_size=5
-0.03094223846991857,-0.07240515341361364,-0.08631321137150129,-0.09405588875214259
-0.06632198149959247,-0.08309288998444875,-0.1211768026649952,-0.14450368707378705
-0.08207397028803826,-0.11091861660281817,-0.1375287452340126,-0.1741178331275781
-0.05145502010981242,-0.040150411029656725,-0.06896093701322874,-0.11804181856413683
-0.03476517761747042,-0.05707288940747579,-0.07446354955434799,-0.10353876898686092
-0.05119463334480921,-0.11294561823209127,-0.1441859170794487,-0.15327807605266572
-0.02440531944235166,-0.036388954321543376,-0.05413836389780045,-0.06263936047752698
-0.14533949588735898,-0.23482078368465106,-0.324565917228659,-0.3453340078766147
-0.018860614200433095,-0.049574450850486756,-0.0718352893491586,-0.10115861718853315
-0.061383591393629706,-0.09126649409532547,-0.09834211602807046,-0.15679797862966854
-0.07704134245713552,-0.14424731135368346,-0.15944767331083615,-0.1874672236541907
-0.04830334708094597,-0.08474099546670914,-0.14869790921608608,-0.14549524163206418
-0.07595920249819756,-0.13697675198316575,-0.1893130800127983,-0.23533185179034868
-0.019053281943003337,-0.030305212686459224,-0.06507448857029278,-0.06419806241989136
-0.026327022910118104,-0.04399701103568077,-0.07077350308497747,-0.07570779621601105
-0.025837950855493546,-0.06341145371397336,-0.06320936585466067,-0.08576234638690948
-0.034213757713635766,-0.06254321619868279,-0.09419420927762985,-0.1173959481716156
-0.03938687225182851,-0.09991665251553059,-0.13268682097395262,-0.174310176918904
-0.003664152721563975,-0.04700444017847379,-0.02716992124915123,-0.0479912161330382
-0.03887946938474973,-0.06949510117371877,-0.08097442502776782,-0.12502670908967653
-0.030647202829519906,-0.031887048731247584,-0.03588512271642685,-0.04555577670534452
-0.032654778957366945,-0.09186516091227531,-0.0950540987153848,-0.11297992005944252
-0.09114142641425133,-0.15432119362056254,-0.19990123604734739,-0.17495214159289996
-0.022317910194396974,-0.06970101709167163,-0.06864203184843064,-0.10148594453930855
-0.1777202047035098,-0.2521621447304885,-0.25263192437589166,-0.3291749492784341
-0.02270894795656204,-0.04827374577522278,-0.05502992406487465,-0.07944708809256554
-0.1748707062502702,-0.22378756446142992,-0.24904649414122104,-0.3167221471915642
