subgraph_size=2,subgraph_size=3
0.007472130345801512,0.07798082625182966
-0.31470080296198527,-0.41698326388994855
-0.11506778883437316,-0.21260721969107788
-0.6254728240768115,-0.6159592978159587
-0.1052140666047732,-0.19926731809973716
-0.22115836987892787,-0.31994411488374075
-0.34694405605395634,-0.5358137157559395
-0.19961364070574442,-0.28804776976505914
-0.23435617034633954,-0.26593676432967184
-0.65012096007665,-0.7548511302471161
-0.08147532517711321,-0.1627239430944125
-0.1442705743511518,-0.26229446748892465
-0.6685156166553498,-0.7312531217932701
-0.27669603457053504,-0.3346424134572347
-0.18024742821852366,-0.30966537396113075
-0.24631594091653825,-0.39883438011010486
-0.4659274693330129,-0.5230964316924414
-0.5285634068648021,-0.6078834873437882
-0.37427583237489065,-0.5820142990350723
-0.48631497760613757,-0.5616779228051504
0.14156013769408068,0.2008632140358289
-0.4699170708656311,-0.5535762045780818
-0.3406663985550404,-0.5113014608621598
-0.6034209111332893,-0.4492410292973121
-0.579144059419632,-0.6462539684772491
-0.2627709612250328,-0.3222937462727229
-0.2695063036183516,-0.41061624735593794
-0.20144387106100717,-0.272248137096564
-0.43109013348817826,-0.4477133464316527
-0.47846349666515986,-0.6500829072296619
-0.15082139564057193,-0.11421394412716229
-0.6641870624820392,-0.6925785684585571
-0.3395742509762446,-0.2935205227136612
-0.28609168375531835,-0.38875245849291484
-0.4715054898460706,-0.36879855723430716
-0.20713221500317255,-0.326212281982104
-0.2408044956624508,-0.39343625177939734
-0.35383487557371457,-0.41857786605755487
-0.16252410953243573,-0.3022661706805229
-0.36406188443303106,-0.4622240527967612
-0.2973813437918822,-0.3986631311972936
-0.4704533211390177,-0.5567903887232145
-0.5166655850410461,-0.5619594660401345
-0.4036656292279561,-0.5907555769880612
-0.4883879313866297,-0.5905323829253515
-0.2245143080751101,-0.3868958447376887
-0.5721882186333338,-0.6923457301656405
-0.528973137140274,-0.5698575987418493
-0.46107414955894155,-0.5334452984730402
-0.36434320429960887,-0.42893701513608296
-0.4739829588929812,-0.3550186626240611
-0.11617555225888888,-0.1553018307685852
-0.16683985178669294,-0.4070741199453672
-0.580457924803098,-0.6268072127302488
-0.11074749643603961,-0.2230338668823242
-0.33688727726538975,-0.47703028460343677
-0.4076427534222603,-0.5300678579012553
-0.36870329817136127,-0.38898305584987003
-0.48987181812524794,-0.6154779413839181
-0.5834892066319783,-0.6745386450489362
-0.21686554377277692,-0.2351929512619972
-0.2178215914964676,-0.32365276888012884
-0.5050156478087108,-0.44935585717360177
-0.5520771922667821,-0.6332104275623958
-0.583708540101846,-0.6792470220724741
-0.2318616874019305,-0.36320373038450876
-0.5750568253795306,-0.6892150238156318
-0.3872490566968918,-0.4904628911614418
-0.16266133261223634,-0.15925748139619827
-0.29332178155581157,-0.3758710530400276
-0.5124056578675906,-0.4782638814051946
-0.20290683686733246,-0.298620104988416
-0.1863721359272798,-0.24115257253249486
-0.3959607873857021,-0.5001757272084554
-0.3149866098165512,-0.4440463690956434
-0.2529739333192507,-0.45638673335313795
-0.33264821728070576,-0.3926397243142128
-0.4316668464740117,-0.5187735596299171
-0.41832584063212075,-0.5645518441001575
-0.19117527609070142,-0.3470432389775912
-0.478271693388621,-0.7069694323341051
-0.4863692050675551,-0.6046717165907224
-0.5961249696214994,-0.6756431437532107
-0.5430583076675733,-0.6019239621361097
-0.31222549130519234,-0.47754455983638766
-0.35472388977805774,-0.3208678956826528
-0.239640807112058,-0.32619886596997577
-0.5049950645367305,-0.5349655630191167
-0.27240950035552186,-0.3117559071630239
-0.32559382647275925,-0.4964230254292488
-0.44749737391869226,-0.5438345171014468
-0.3771595154205958,-0.486342045267423
-0.2700816376010577,-0.3935725582639376
-0.3303422975540161,-0.46095031758149463
-0.36839265808463095,-0.39537184839447337
-0.330563478966554,-0.4450602476298809
-0.5385659564534823,-0.36986239469610155
-0.36679971049229304,-0.4542592161893845
-0.571465699672699,-0.5681183506051699
-0.4145808700720469,-0.461443916062514
-0.3120685057838758,-0.3741405616203944
-0.36213297377030057,-0.4181454649567604
-0.24470445444186528,-0.3831680936117967
-0.2139843385418256,-0.3834922072291374
-0.14396075017750262,-0.3609678487976392
-0.410130507349968,-0.4931392708420754
-0.6460899503032367,-0.6371066078543663
-0.30737480878829954,-0.3442095227042834
-0.5273228259881337,-0.5102068633834521
-0.26082771057883897,-0.4231812181075414
-0.3377841071287791,-0.40230223268270493
-0.5904769327739875,-0.6628002700706322
-0.07110837792356808,-0.15176854491233827
-0.46803419043620426,-0.5675895355145136
-0.40017563154300057,-0.5627208210031192
-0.36078876187403996,-0.26142353857556977
-0.34470652163028714,-0.44123302668333053
-0.5091984925667444,-0.6500949469208718
-0.3112652971347173,-0.3895262296994527
-0.5461402888099353,-0.5882858507831892
-0.26047780707478524,-0.4201988301674525
-0.18211664085586865,-0.2976211354136467
-0.3691650152206421,-0.4593738693992297
-0.4250381591916084,-0.5237341940402984
-0.1496863792836666,-0.27522556046644847
-0.5350350725650788,-0.6351302059491476
-0.2003978220621745,-0.4296499266227086
-0.4746962809562683,-0.537979996005694
-0.21632409051060678,-0.2142110157509645
-0.23752870390812555,-0.15774090031782786
-0.325313214858373,-0.3966210569938024
-0.5202773857116699,-0.5846764994661013
-0.32721311698357264,-0.38877972414096196
-0.18684562022487322,-0.2828611994286378
-0.25885958890120186,-0.15882653114696343
-0.25785650372505187,-0.2913805530468623
-0.31812338838974635,-0.408476626376311
-0.2663734687368075,-0.41587158769369126
-0.2827867979307969,-0.49062494456768035
-0.29610894739627835,-0.523769615093867
-0.24732649425665537,-0.38622515002886454
-0.2825018716355165,-0.4745770987868309
-0.3217239061991374,-0.4677257712682088
-0.67275118937095,-0.7336485272645951
